"","player_id","full","position","team","opp","team_game_number","game_id","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"1",1629089,"WIKSTEN Kasper","1","DEN","CAN",1,"746241","Round-Robin",16,78,15,77,1,100,11,84,5,65
"2",2032356,"HOLTERMANN Henrik","2","DEN","CAN",1,"746241","Round-Robin",16,77,6,83,10,73,9,86,7,64
"3",931773,"NOERGAARD Mads","3-V","DEN","CAN",1,"746241","Round-Robin",16,81,6,71,10,88,12,79,4,88
"4",721999,"KRAUSE Mikkel","4-S","DEN","CAN",1,"746241","Round-Robin",16,64,6,71,10,60,11,59,5,75
"5",841707,"JACOBSEN Tobias Thune","A","DEN","CAN",1,"746241","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"6",1158314,"WALKER Geoff","1","CAN","DEN",1,"746241","Round-Robin",16,95,16,95,0,NA,10,95,6,96
"7",771068,"GALLANT Brett","2","CAN","DEN",1,"746241","Round-Robin",16,78,7,68,9,86,6,79,10,78
"8",603636,"NICHOLS Mark","3-V","CAN","DEN",1,"746241","Round-Robin",16,75,6,63,10,83,7,68,9,81
"9",337982,"GUSHUE Brad","4-S","CAN","DEN",1,"746241","Round-Robin",16,81,7,86,9,78,6,83,10,80
"10",723800,"KENNEDY Marc","A","CAN","DEN",1,"746241","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"11",1149950,"XU Jingtao","1","CHN","SWE",1,"746263","Round-Robin",20,79,16,84,4,56,3,100,17,75
"12",1221197,"WANG Zhiyu","2","CHN","SWE",1,"746263","Round-Robin",20,85,12,98,8,66,8,72,12,94
"13",1326608,"ZOU Qiang","3-V","CHN","SWE",1,"746263","Round-Robin",20,88,11,95,9,78,12,92,8,81
"14",931795,"MA Xiuyue","4-S","CHN","SWE",1,"746263","Round-Robin",20,74,9,86,11,64,15,75,5,70
"15",1022642,"JIANG Dongxu","A","CHN","SWE",1,"746263","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"16",771099,"SUNDGREN Christoffer","1","SWE","CHN",1,"746263","Round-Robin",20,84,16,83,4,88,2,50,18,88
"17",1025620,"WRANA Rasmus","2","SWE","CHN",1,"746263","Round-Robin",20,90,6,96,14,88,4,81,16,92
"18",721971,"ERIKSSON Oskar","3-V","SWE","CHN",1,"746263","Round-Robin",20,90,5,95,15,88,10,93,10,88
"19",706865,"EDIN Niklas","4-S","SWE","CHN",1,"746263","Round-Robin",17,87,7,86,10,88,7,79,10,93
"20",1776684,"MAGNUSSON Daniel","A","SWE","CHN",1,"746263","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"21",1637023,"TRULSEN VAAGBERG Magnus","1","NOR","SUI",1,"746236","Round-Robin",20,89,18,88,2,100,3,92,17,88
"22",721985,"HOEIBERG Markus","2","NOR","SUI",1,"746236","Round-Robin",20,71,8,81,12,65,6,75,14,70
"23",338062,"NERGAARD Torger","3-V","NOR","SUI",1,"746236","Round-Robin",20,81,8,75,12,85,4,88,16,80
"24",721983,"WALSTAD Steffen","4-S","NOR","SUI",1,"746236","Round-Robin",20,84,11,82,9,86,5,100,15,78
"25",841718,"NEDREGOTTEN Magnus","A","NOR","SUI",1,"746236","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"26",842309,"TANNER Valentin","1","SUI","NOR",1,"746236","Round-Robin",20,86,19,87,1,75,5,100,15,82
"27",842291,"DE CRUZ Peter","2-S","SUI","NOR",1,"746236","Round-Robin",20,86,7,96,13,81,8,88,12,85
"28",931633,"MICHEL Sven","3","SUI","NOR",1,"746236","Round-Robin",20,86,8,84,12,88,10,80,10,93
"29",842302,"SCHWARZ Benoit","4-V","SUI","NOR",1,"746236","Round-Robin",20,76,6,96,14,68,10,80,10,73
"30",2189727,"LACHAT Pablo","A","SUI","NOR",1,"746236","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"31",931762,"LANDSTEINER John","1","USA","ROC",1,"746268","Round-Robin",22,83,21,85,1,50,8,100,14,73
"32",721969,"HAMILTON Matt","2","USA","ROC",1,"746268","Round-Robin",22,85,10,95,12,77,10,93,12,79
"33",721966,"PLYS Chris","3-V","USA","ROC",1,"746268","Round-Robin",22,88,7,82,15,90,15,85,7,93
"34",458196,"SHUSTER John","4-S","USA","ROC",1,"746268","Round-Robin",22,81,12,88,10,73,15,85,7,71
"35",1221219,"HUFMAN Colin","A","USA","ROC",1,"746268","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"36",910440,"KALALB Anton","1","ROC","USA",1,"746268","Round-Robin",22,89,19,92,3,67,8,72,14,98
"37",1149944,"MIRONOV Dmitry","2-V","ROC","USA",1,"746268","Round-Robin",22,83,12,79,10,88,14,77,8,94
"38",1570482,"KLIMOV Evgeny","3","ROC","USA",1,"746268","Round-Robin",22,81,6,88,16,78,14,84,8,75
"39",1149969,"GLUKHOV Sergey","4-S","ROC","USA",1,"746268","Round-Robin",22,80,12,77,10,83,13,92,9,61
"40",1482294,"GORYACHEV Daniil","A","ROC","USA",1,"746268","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"41",1637023,"TRULSEN VAAGBERG Magnus","1","NOR","CAN",2,"746258","Round-Robin",20,93,15,92,5,95,4,94,16,92
"42",721985,"HOEIBERG Markus","2","NOR","CAN",2,"746258","Round-Robin",20,84,10,78,10,90,9,89,11,80
"43",338062,"NERGAARD Torger","3-V","NOR","CAN",2,"746258","Round-Robin",20,88,6,75,14,93,8,81,12,92
"44",721983,"WALSTAD Steffen","4-S","NOR","CAN",2,"746258","Round-Robin",20,85,7,86,13,85,8,81,12,88
"45",841718,"NEDREGOTTEN Magnus","A","NOR","CAN",2,"746258","Round-Robin",0,NA,0,NA,0,NA,0,NA,0,NA
"46",1158314,"WALKER Geoff","1","CAN","NOR",2,"746258","Round-Robin",20,91,15,92,5,90,10,93,10,90
"47",771068,"GALLANT Brett","2","CAN","NOR",2,"746258","Round-Robin",20,89,7,82,13,92,11,91,9,86
"48",603636,"NICHOLS Mark","3-V","CAN","NOR",2,"746258","Round-Robin",20,89,8,97,12,83,10,85,10,93
