"","game_id","team","opp","team_game_number","team_time_remaining","team_score","opp_score","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"1","746241","CAN","DEN",1,"06:00","10","5","Round-Robin",64,82.25,36,78,28,82.33,29,81.25,35,83.75
"2","746241","DEN","CAN",1,"06:29","5","10","Round-Robin",64,75,33,75.5,31,80.25,43,77,21,73
"3","746263","CHN","SWE",1,"01:51","4","6","Round-Robin",80,81.5,48,90.75,32,66,38,84.75,42,80
"4","746263","SWE","CHN",1,"01:28","6","4","Round-Robin",77,87.75,34,90,43,88,23,75.75,54,90.25
"5","746236","NOR","SUI",1,"00:20","7","4","Round-Robin",80,81.25,45,81.5,35,84,18,88.75,62,79
"6","746236","SUI","NOR",1,"00:10","4","7","Round-Robin",80,83.5,40,90.75,40,78,33,87,47,83.25
"7","746268","ROC","USA",1,"02:39","5","6","Round-Robin",88,83.25,49,84,39,79,49,81.25,39,82
"8","746268","USA","ROC",1,"00:36","6","5","Round-Robin",88,84.25,50,87.5,38,72.5,48,90.75,40,79
"9","746258","CAN","NOR",2,"02:37","6","5","Round-Robin",78,92,37,92.75,41,90.75,39,91.5,39,92.25
"10","746258","NOR","CAN",2,"02:08","5","6","Round-Robin",80,87.5,38,82.75,42,90.75,29,86.25,51,88
"11","746267","SWE","USA",2,"01:32","7","4","Round-Robin",79,83,39,84,40,86.5,33,84.67,46,84.75
"12","746267","USA","SWE",2,"01:09","4","7","Round-Robin",78,79.5,48,80.75,30,83.25,41,83,37,75.5
"13","746280","CHN","ROC",2,"02:40","4","7","Round-Robin",78,82,46,82,32,85.5,34,81.75,44,81
"14","746280","ROC","CHN",2,"04:40","7","4","Round-Robin",79,80.25,48,85.75,31,73.5,41,76.5,38,85
"15","746270","GBR","ITA",1,"01:33","7","5","Round-Robin",80,87.75,47,85.25,33,92.67,47,90.75,33,84.25
"16","746270","ITA","GBR",1,"00:19","5","7","Round-Robin",80,83.25,46,90,34,68.75,46,84.5,34,83.25
"17","746254","ITA","SWE",2,"06:48","3","9","Round-Robin",64,80.75,49,76.5,15,90,37,79.25,27,83.5
"18","746254","SWE","ITA",3,"08:37","9","3","Round-Robin",64,90.75,32,86.75,32,89.25,20,85,44,94
"19","746265","ROC","SUI",3,"03:23","3","6","Round-Robin",78,81.75,47,80.5,31,75.75,42,81.25,36,84
"20","746265","SUI","ROC",2,"02:10","6","3","Round-Robin",78,83,28,80,50,82.25,27,77,51,86.5
"21","746266","CHN","DEN",3,"01:30","5","4","Round-Robin",80,86,32,87,48,82.75,30,89.25,50,85
"22","746266","DEN","CHN",2,"00:28","4","5","Round-Robin",80,79.75,43,83.25,37,73.5,47,86,33,70
"23","746261","GBR","USA",2,"00:49","7","9","Round-Robin",78,80.75,52,76.75,26,81.33,46,79.5,32,80.5
"24","746261","USA","GBR",3,"00:27","9","7","Round-Robin",80,85.75,43,85.5,37,87.5,35,83.25,45,87.25
"25","746243","DEN","ROC",3,"17:29","2","10","Round-Robin",48,75.25,30,75,18,59.33,30,74.75,18,66
"26","746243","ROC","DEN",4,"19:13","10","2","Round-Robin",48,84.5,24,92.25,24,79,17,87.75,31,86.25
"27","746259","GBR","NOR",3,"10:16","8","3","Round-Robin",56,90.75,30,78.5,26,94,26,96.25,30,84.5
"28","746259","NOR","GBR",3,"09:00","3","8","Round-Robin",56,89.75,36,95.25,20,80.33,21,82.75,35,94
"29","746273","CAN","SUI",3,"00:47","3","5","Round-Robin",79,88.25,55,88.5,24,87,47,90.75,32,86
"30","746273","SUI","CAN",3,"00:10","5","3","Round-Robin",79,81.25,32,87.75,47,84.25,38,80.25,41,81.5
"31","746248","CAN","SWE",4,"00:15","4","7","Round-Robin",79,83.25,45,81.25,34,85,43,83.5,36,82.5
"32","746248","SWE","CAN",4,"00:03","7","4","Round-Robin",79,88.25,41,92,38,85.75,35,93.25,44,80
"33","746257","NOR","USA",4,"00:39","7","6","Round-Robin",80,84,45,79,35,93.25,26,90.25,54,83.25
"34","746257","USA","NOR",4,"00:29","6","7","Round-Robin",79,78.25,42,80,37,81,41,74.25,38,83.5
"35","746235","CHN","ITA",4,"01:25","12","9","Round-Robin",78,83,38,76,40,88.25,30,82.75,48,82.5
"36","746235","ITA","CHN",3,"00:24","9","12","Round-Robin",80,85,60,88.75,20,78.5,35,87.25,45,83.75
"37","746260","DEN","SUI",4,"01:28","6","8","Round-Robin",80,85.25,53,86.5,27,81.67,56,87,24,84.75
"38","746260","SUI","DEN",4,"04:24","8","6","Round-Robin",79,93.25,37,88.5,42,96.25,44,92.5,35,93
"39","746251","CHN","GBR",5,"05:42","6","7","Round-Robin",80,86,42,89,38,85,33,87,47,83.25
"40","746251","GBR","CHN",4,"08:34","7","6","Round-Robin",78,91,23,97.25,55,88,36,88,42,92.5
"41","746276","CAN","USA",5,"04:02","10","5","Round-Robin",71,92.4,37,90.6,34,95.75,35,91.6,36,96.8
"42","746276","USA","CAN",5,"03:31","5","10","Round-Robin",72,76.4,50,79,22,73.33,22,60.6,50,81.2
