"","player_id","full","position","team","opp","team_game_number","game_id","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"1",1929264,"GILL Tahli","F","AUS","USA",1,"746344","Round-Robin",16,70,12,77,4,50,7,57,9,81
"2",1323453,"HEWITT Dean","M","AUS","USA",1,"746344","Round-Robin",24,75,12,65,12,85,15,77,9,72
"3",1149977,"PERSINGER Vicky","F","USA","AUS",1,"746344","Round-Robin",16,70,12,65,4,88,4,56,12,75
"4",721966,"PLYS Chris","M","USA","AUS",1,"746344","Round-Robin",24,73,16,73,8,72,8,66,16,77
"5",1245672,"DE VAL Almida","F","SWE","GBR",1,"746359","Round-Robin",16,59,13,58,3,67,14,54,2,100
"6",721971,"ERIKSSON Oskar","M","SWE","GBR",1,"746359","Round-Robin",24,57,17,68,7,32,15,57,9,58
"7",1149957,"DODDS Jennifer","F","GBR","SWE",1,"746359","Round-Robin",16,61,15,62,1,50,11,55,5,75
"8",1366641,"MOUAT Bruce","M","GBR","SWE",1,"746359","Round-Robin",24,75,19,80,5,55,11,75,13,75
"9",2272511,"FAN Suyuan","F","CHN","SUI",1,"746369","Round-Robin",18,75,13,83,5,55,12,75,6,75
"10",1245715,"LING Zhi","M","CHN","SUI",1,"746369","Round-Robin",27,84,22,82,5,95,14,91,13,77
"11",1149959,"PERRET Jenny","F","SUI","CHN",1,"746369","Round-Robin",17,56,13,62,4,38,9,61,8,50
"12",760837,"RIOS Martin","M","SUI","CHN",1,"746369","Round-Robin",27,60,19,67,8,44,12,58,15,62
"13",841718,"NEDREGOTTEN Magnus","M","NOR","CZE",1,"746336","Round-Robin",27,85,22,82,5,100,14,86,13,85
"14",706818,"SKASLIEN Kristin","F","NOR","CZE",1,"746336","Round-Robin",17,76,13,85,4,50,10,73,7,82
"15",1221476,"PAUL Tomas","M","CZE","NOR",1,"746336","Round-Robin",27,80,19,79,8,81,15,83,12,75
"16",1967586,"PAULOVA Zuzana","F","CZE","NOR",1,"746336","Round-Robin",18,53,18,53,0,NA,15,52,3,58
"17",1149957,"DODDS Jennifer","F","GBR","CAN",2,"746379","Round-Robin",15,78,14,77,1,100,5,80,10,78
"18",1366641,"MOUAT Bruce","M","GBR","CAN",2,"746379","Round-Robin",24,72,16,69,8,78,9,64,15,77
"19",842605,"HOMAN Rachel","F","CAN","GBR",1,"746379","Round-Robin",16,55,9,67,7,39,5,45,11,59
"20",338028,"MORRIS John","M","CAN","GBR",1,"746379","Round-Robin",24,68,15,68,9,67,7,82,17,62
"21",1929264,"GILL Tahli","F","AUS","CHN",2,"746348","Round-Robin",16,69,14,71,2,50,9,72,7,64
"22",1323453,"HEWITT Dean","M","AUS","CHN",2,"746348","Round-Robin",24,78,16,88,8,59,13,83,11,73
"23",2272511,"FAN Suyuan","F","CHN","AUS",2,"746348","Round-Robin",16,75,11,73,5,80,9,67,7,86
"24",1245715,"LING Zhi","M","CHN","AUS",2,"746348","Round-Robin",24,83,15,95,9,64,10,75,14,89
"25",1149977,"PERSINGER Vicky","F","USA","ITA",2,"746351","Round-Robin",15,77,11,91,4,38,4,94,11,70
"26",721966,"PLYS Chris","M","USA","ITA",2,"746351","Round-Robin",24,55,17,60,7,43,14,59,10,50
"27",1475582,"CONSTANTINI Stefania","F","ITA","USA",1,"746351","Round-Robin",16,72,13,88,3,0,11,86,5,40
"28",1022627,"MOSANER Amos","M","ITA","USA",1,"746351","Round-Robin",24,78,19,80,5,70,7,71,17,81
"29",1245672,"DE VAL Almida","F","SWE","CZE",2,"746353","Round-Robin",16,84,14,89,2,50,4,100,12,79
"30",721971,"ERIKSSON Oskar","M","SWE","CZE",2,"746353","Round-Robin",24,76,18,83,6,54,10,83,14,71
"31",1221476,"PAUL Tomas","M","CZE","SWE",2,"746353","Round-Robin",24,75,18,81,6,58,16,77,8,72
"32",1967586,"PAULOVA Zuzana","F","CZE","SWE",2,"746353","Round-Robin",16,80,9,94,7,61,4,81,12,79
"33",1149977,"PERSINGER Vicky","F","USA","NOR",3,"746350","Round-Robin",16,61,14,63,2,50,8,75,8,47
"34",721966,"PLYS Chris","M","USA","NOR",3,"746350","Round-Robin",24,75,17,76,7,71,12,71,12,79
"35",841718,"NEDREGOTTEN Magnus","M","NOR","USA",2,"746350","Round-Robin",24,82,20,86,4,63,8,75,16,86
"36",706818,"SKASLIEN Kristin","F","NOR","USA",2,"746350","Round-Robin",15,80,14,79,1,100,9,78,6,83
"37",1475582,"CONSTANTINI Stefania","F","ITA","SUI",2,"746371","Round-Robin",18,82,17,81,1,100,8,81,10,83
"38",1022627,"MOSANER Amos","M","ITA","SUI",2,"746371","Round-Robin",27,85,20,84,7,89,10,78,17,90
"39",1149959,"PERRET Jenny","F","SUI","ITA",2,"746371","Round-Robin",18,61,15,63,3,50,6,67,12,58
"40",760837,"RIOS Martin","M","SUI","ITA",2,"746371","Round-Robin",27,88,23,86,4,100,14,93,13,83
"41",1221476,"PAUL Tomas","M","CZE","AUS",3,"746362","Round-Robin",21,88,12,85,9,92,10,85,11,91
"42",1967586,"PAULOVA Zuzana","F","CZE","AUS",3,"746362","Round-Robin",13,81,10,80,3,83,2,75,11,82
"43",1929264,"GILL Tahli","F","AUS","CZE",3,"746362","Round-Robin",14,70,12,77,2,25,6,63,8,75
"44",1323453,"HEWITT Dean","M","AUS","CZE",3,"746362","Round-Robin",20,54,10,45,10,63,8,44,12,60
"45",841718,"NEDREGOTTEN Magnus","M","NOR","CAN",3,"746367","Round-Robin",24,86,20,89,4,75,19,87,5,85
"46",706818,"SKASLIEN Kristin","F","NOR","CAN",3,"746367","Round-Robin",16,67,15,72,1,0,12,75,4,44
