"","game_id","team","opp","team_game_number","team_time_remaining","team_score","opp_score","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"1","746344","AUS","USA",1,"03:23","5","6","Round-Robin",40,72.5,24,71,16,67.5,22,67,18,76.5
"2","746344","USA","AUS",1,"02:33","6","5","Round-Robin",40,71.5,28,69,12,80,12,61,28,76
"3","746359","GBR","SWE",1,"02:30","9","5","Round-Robin",40,68,34,71,6,52.5,22,65,18,75
"4","746359","SWE","GBR",1,"00:52","5","9","Round-Robin",40,58,30,63,10,49.5,29,55.5,11,79
"5","746369","CHN","SUI",1,"01:44","7","6","Round-Robin",45,79.5,35,82.5,10,75,26,83,19,76
"6","746369","SUI","CHN",1,"03:05","6","7","Round-Robin",44,58,32,64.5,12,41,21,59.5,23,56
"7","746336","CZE","NOR",1,"00:49","7","6","Round-Robin",45,66.5,37,66,8,81,30,67.5,15,66.5
"8","746336","NOR","CZE",1,"00:17","6","7","Round-Robin",44,80.5,35,83.5,9,75,24,79.5,20,83.5
"9","746379","CAN","GBR",1,"00:17","4","6","Round-Robin",40,61.5,24,67.5,16,53,12,63.5,28,60.5
"10","746379","GBR","CAN",2,"02:57","6","4","Round-Robin",39,75,30,73,9,89,14,72,25,77.5
"11","746348","AUS","CHN",2,"00:38","5","6","Round-Robin",40,73.5,30,79.5,10,54.5,22,77.5,18,68.5
"12","746348","CHN","AUS",2,"00:07","6","5","Round-Robin",40,79,26,84,14,72,19,71,21,87.5
"13","746351","ITA","USA",1,"00:53","8","4","Round-Robin",40,75,32,84,8,35,18,78.5,22,60.5
"14","746351","USA","ITA",2,"00:15","4","8","Round-Robin",39,66,28,75.5,11,40.5,18,76.5,21,60
"15","746353","CZE","SWE",2,"00:02","4","7","Round-Robin",40,77.5,27,87.5,13,59.5,20,79,20,75.5
"16","746353","SWE","CZE",2,"00:23","7","4","Round-Robin",40,80,32,86,8,52,14,91.5,26,75
"17","746350","NOR","USA",2,"00:11","11","6","Round-Robin",39,81,34,82.5,5,81.5,17,76.5,22,84.5
"18","746350","USA","NOR",3,"00:28","6","11","Round-Robin",40,68,31,69.5,9,60.5,20,73,20,63
"19","746371","ITA","SUI",2,"00:11","8","7","Round-Robin",45,83.5,37,82.5,8,94.5,18,79.5,27,86.5
"20","746371","SUI","ITA",2,"00:36","7","8","Round-Robin",45,74.5,38,74.5,7,75,20,80,25,70.5
"21","746362","AUS","CZE",3,"03:44","2","8","Round-Robin",34,62,22,61,12,44,14,53.5,20,67.5
"22","746362","CZE","AUS",3,"04:40","8","2","Round-Robin",34,84.5,22,82.5,12,87.5,12,80,22,86.5
"23","746367","CAN","NOR",2,"01:23","7","6","Round-Robin",38,81.5,28,85,10,83.5,18,81.5,20,80.5
"24","746367","NOR","CAN",3,"00:21","6","7","Round-Robin",40,76.5,35,80.5,5,37.5,31,81,9,64.5
"25","746333","GBR","SUI",3,"00:23","7","8","Round-Robin",40,76,32,80.5,8,54,18,70.5,22,80.5
"26","746333","SUI","GBR",3,"01:12","8","7","Round-Robin",39,70.5,26,70,13,55.5,16,59,23,79
"27","746334","CHN","SWE",3,"00:19","6","7","Round-Robin",39,79,31,80,8,83.5,18,80,21,79.5
"28","746334","SWE","CHN",3,"00:36","7","6","Round-Robin",39,76.5,30,77,9,75,9,73,30,75.5
"29","746360","AUS","SWE",4,"00:15","6","7","Round-Robin",40,72,28,77,12,54.5,20,68.5,20,75.5
"30","746360","SWE","AUS",4,"00:23","7","6","Round-Robin",40,79.5,30,84,10,64.5,20,83,20,77
"31","746340","CAN","SUI",3,"00:58","7","5","Round-Robin",40,83.5,30,86,10,74.5,20,83,20,83.5
"32","746340","SUI","CAN",4,"01:49","5","7","Round-Robin",40,67,33,66,7,83.5,19,61,21,76.5
"33","746372","ITA","NOR",3,"00:44","11","8","Round-Robin",39,74,28,74.5,11,79.5,19,84,20,71.5
"34","746372","NOR","ITA",4,"00:38","8","11","Round-Robin",39,61.5,34,60.5,5,78,22,60.5,17,58.5
"35","746376","CAN","CHN",4,"00:48","8","6","Round-Robin",39,84,30,83.5,9,85.5,16,89,23,79.5
"36","746376","CHN","CAN",4,"00:25","6","8","Round-Robin",38,78.5,27,87,11,63.5,17,75.5,21,80.5
"37","746374","AUS","GBR",5,"00:25","8","9","Round-Robin",45,71.5,35,77,10,52.5,25,72,20,71
"38","746374","GBR","AUS",4,"00:25","9","8","Round-Robin",44,80.5,34,81,10,69.5,22,78.5,22,82.5
"39","746358","SWE","USA",5,"00:08","7","8","Round-Robin",45,63.5,38,66,7,50,26,68.5,19,56
"40","746358","USA","SWE",4,"00:06","8","7","Round-Robin",43,78.5,34,77.5,9,87.5,20,74,23,82.5
"41","746381","CZE","ITA",4,"04:57","2","10","Round-Robin",29,69.5,20,80.5,9,50,11,58.5,18,71.5
"42","746381","ITA","CZE",4,"05:29","10","2","Round-Robin",29,88.5,23,85.5,6,100,7,74,22,94
"43","746357","AUS","NOR",6,"03:00","4","10","Round-Robin",30,58,20,64,10,46.5,9,59,21,52.5
"44","746357","NOR","AUS",5,"05:08","10","4","Round-Robin",30,89,23,89.5,7,91.5,13,78.5,17,90.5
"45","746346","SUI","SWE",5,"04:09","1","6","Round-Robin",34,62.5,22,70,12,49.5,19,67,15,57
"46","746346","SWE","SUI",6,"02:50","6","1","Round-Robin",35,88.5,31,88.5,4,91.5,15,100,20,80.5
"47","746373","CZE","GBR",5,"04:05","3","8","Round-Robin",34,71.5,29,81,5,6.5,12,78,22,70.5
"48","746373","GBR","CZE",5,"03:20","8","3","Round-Robin",35,77,23,74.5,12,83.5,20,63,15,89
"49","746380","CAN","SWE",5,"02:39","2","6","Round-Robin",33,72.5,25,77.5,8,52,21,71,12,71.5
"50","746380","SWE","CAN",7,"02:57","6","2","Round-Robin",35,90.5,25,91,10,90.5,23,90,12,92
"51","746364","AUS","ITA",7,"00:20","3","7","Round-Robin",38,78,27,86,11,56.5,19,71,19,85.5
"52","746364","ITA","AUS",5,"02:01","7","3","Round-Robin",38,84,26,86,12,76.5,19,82,19,85.5
"53","746342","CHN","USA",5,"00:57","5","7","Round-Robin",39,69,28,73,11,59,19,73.5,20,65.5
"54","746342","USA","CHN",5,"01:00","7","5","Round-Robin",40,79,28,84.5,12,37.5,26,86,14,58.5
"55","746341","CZE","SUI",6,"02:18","3","11","Round-Robin",35,69,26,67,9,44,8,43.5,27,76
"56","746341","SUI","CZE",6,"04:29","11","3","Round-Robin",35,91.5,23,93.5,12,86,17,91.5,18,92
"57","746366","CAN","USA",6,"02:36","7","2","Round-Robin",35,78.5,26,74.5,9,87.5,15,74.5,20,85.5
"58","746366","USA","CAN",6,"01:06","2","7","Round-Robin",35,73.5,22,70.5,13,79,16,76.5,19,67.5
"59","746352","CHN","NOR",6,"01:17","6","9","Round-Robin",38,63.5,30,69,8,53.5,12,55,26,68
"60","746352","NOR","CHN",6,"00:57","9","6","Round-Robin",38,82,26,84,12,78,11,86.5,27,79
"61","746355","GBR","ITA",6,"01:02","5","7","Round-Robin",39,83,33,84.5,6,72,23,80.5,16,85.5
"62","746355","ITA","GBR",6,"00:11","7","5","Round-Robin",40,75,30,73.5,10,82,14,61,26,82.5
"63","746347","CHN","GBR",7,"00:17","5","6","Round-Robin",39,68,30,70,9,52,23,78,16,54
"64","746347","GBR","CHN",7,"01:07","6","5","Round-Robin",39,76.5,31,79,8,52,18,72.5,21,80.5
"65","746343","CZE","USA",7,"00:31","10","8","Round-Robin",40,73,24,70,16,78.5,23,73.5,17,72.5
"66","746343","USA","CZE",7,"00:04","8","10","Round-Robin",40,82.5,30,81.5,10,81.5,24,84,16,80
"67","746378","AUS","SUI",8,"00:47","9","6","Round-Robin",40,76.5,27,81.5,13,65,20,75,20,77.5
"68","746378","SUI","AUS",7,"01:15","6","9","Round-Robin",40,71.5,28,78.5,12,54.5,21,69,19,74.5
"69","746377","CHN","ITA",8,"00:23","4","8","Round-Robin",40,61,30,71,10,30,24,53,16,73
"70","746377","ITA","CHN",7,"00:12","8","4","Round-Robin",39,80.5,30,85.5,9,64.5,13,83.5,26,79
"71","746368","NOR","SWE",7,"00:31","6","2","Round-Robin",40,92,26,92.5,14,92.5,18,88,22,95
"72","746368","SWE","NOR",8,"00:18","2","6","Round-Robin",39,68.5,27,76.5,12,43,18,72.5,21,69
"73","746335","CAN","CZE",7,"00:01","7","5","Round-Robin",45,82,30,82.5,15,84,19,83,26,80.5
"74","746335","CZE","CAN",8,"00:47","5","7","Round-Robin",44,78.5,33,82.5,11,65,20,86.5,24,73.5
"75","746356","GBR","NOR",8,"04:40","2","6","Round-Robin",38,71.5,30,71,8,76,19,80.5,19,68.5
"76","746356","NOR","GBR",8,"01:31","6","2","Round-Robin",39,89,25,88.5,14,83.5,20,87,19,90
"77","746338","SUI","USA",8,"00:53","6","5","Round-Robin",39,82.5,30,83,9,80.5,13,89,26,79.5
"78","746338","USA","SUI",8,"01:07","5","6","Round-Robin",40,80.5,32,83,8,71,18,83,22,78.5
"79","746363","ITA","SWE",8,"00:22","12","8","Round-Robin",40,70.5,25,71.5,15,69.5,23,55,17,90.5
"80","746363","SWE","ITA",9,"00:12","8","12","Round-Robin",40,79,31,82,9,69,17,77,23,80.5
"81","746349","AUS","CAN",9,"00:20","10","8","Round-Robin",44,76,28,79,16,71,16,69.5,28,80
"82","746349","CAN","AUS",8,"00:23","8","10","Round-Robin",45,70.5,38,75.5,7,58.5,17,62,28,71.5
"83","746361","CHN","CZE",9,"00:23","6","8","Round-Robin",39,75,27,79,12,64,6,69,33,78.5
"84","746361","CZE","CHN",9,"01:45","8","6","Round-Robin",40,79.5,29,83,11,65.5,15,88.5,25,74
"85","746375","NOR","SUI",9,"00:33","6","5","Round-Robin",40,87,26,89,14,81.5,21,88,19,85.5
"86","746375","SUI","NOR",9,"00:54","5","6","Round-Robin",39,69.5,29,71,10,66,22,57,17,81.5
"87","746339","GBR","USA",9,"01:53","8","4","Round-Robin",40,91,33,92.5,7,75,23,92,17,88.5
"88","746339","USA","GBR",9,"00:06","4","8","Round-Robin",40,69.5,25,79,15,53.5,9,54.5,31,71.5
"89","746354","CAN","ITA",9,"00:17","7","8","Round-Robin",45,77,33,81,12,62.5,26,79,19,69
"90","746354","ITA","CAN",9,"00:07","8","7","Round-Robin",45,86,34,86.5,11,90.5,17,84,28,83
"91","746345","ITA","SWE",10,"03:10","8","1","Semifinals",35,89,24,88.5,11,96,12,87.5,23,94.5
"92","746345","SWE","ITA",10,"01:54","1","8","Semifinals",35,64,25,71,10,47,21,66.5,14,61.5
"93","746370","GBR","NOR",10,"01:58","5","6","Semifinals",40,82,31,87.5,9,60.5,17,86.5,23,78.5
"94","746370","NOR","GBR",10,"01:25","6","5","Semifinals",40,83,32,81,8,96.5,22,72.5,18,95
"95","746365","GBR","SWE",11,"04:10","3","9","Bronze Medal Game",30,70.5,21,85,9,51.5,18,69,12,73.5
"96","746365","SWE","GBR",11,"06:20","9","3","Bronze Medal Game",30,91,21,93,9,87.5,10,83.5,20,95
"97","746337","ITA","NOR",11,"00:56","8","5","Gold Medal Game",39,86.5,27,93,12,71,18,82,21,90.5
"98","746337","NOR","ITA",11,"00:10","5","8","Gold Medal Game",40,69.5,30,71.5,10,64,16,72,24,69
