"","player_id","first","last","full","team_abr","team_id","positions"
"1",338028,"John","Morris","MORRIS John","CAN",47995,"M"
"2",706818,"Kristin","Skaslien","SKASLIEN Kristin","NOR",42731,"F"
"3",721966,"Chris","Plys","PLYS Chris","USA",48025,"M"
"4",721971,"Oskar","Eriksson","ERIKSSON Oskar","SWE",42730,"M"
"5",760837,"Martín","Rios","RIOS Martin","SUI",48022,"M"
"6",841718,"Magnus","Nedregotten","NEDREGOTTEN Magnus","NOR",42731,"M"
"7",842605,"Rachel","Homan","HOMAN Rachel","CAN",47995,"F"
"8",1022627,"Amos","Mosaner","MOSANER Amos","ITA",48006,"M"
"9",1149957,"Jennifer","Dodds","DODDS Jennifer","GBR",50597,"F"
"10",1149959,"Jenny","Perret","PERRET Jenny","SUI",48022,"F"
"11",1149977,"Vicky","Persinger","PERSINGER Vicky","USA",48025,"F"
"12",1221476,"Tomas","Paul","PAUL Tomas","CZE",47997,"M"
"13",1245672,"Almida","de Val","DE VAL Almida","SWE",42730,"F"
"14",1245715,"Zhi","Ling","LING Zhi","CHN",47996,"M"
"15",1323453,"Dean","Hewitt","HEWITT Dean","AUS",47990,"M"
"16",1366641,"Bruce","Mouat","MOUAT Bruce","GBR",50597,"M"
"17",1475582,"Stefania","Constantini","CONSTANTINI Stefania","ITA",48006,"F"
"18",1929264,"Tahli","Gill","GILL Tahli","AUS",47990,"F"
"19",1967586,"Zuzana","Paulova","PAULOVA Zuzana","CZE",47997,"F"
"20",2272511,"Suyuan","Fan","FAN Suyuan","CHN",47996,"F"
