"","game_id","team","opp","team_game_number","team_time_remaining","team_score","opp_score","stage","throws","throw_accuracy","draws","draw_accuracy","takeouts","takeout_accuracy","clockwise_throws","clockwise_accuracy","counter_clockwise_throws","counter_clockwise_accuracy"
"1","746320","ROC","USA",1,"10:14","3","9","Round-Robin",56,80,33,85.5,23,79,30,75.25,26,87.5
"2","746320","USA","ROC",1,"09:26","9","3","Round-Robin",56,75.25,20,81.6666666666667,36,70.67,28,75.25,28,75
"3","746295","CHN","DEN",1,"03:45","6","7","Round-Robin",80,80,42,86,38,72.5,35,78.75,45,81.25
"4","746295","DEN","CHN",1,"04:19","7","6","Round-Robin",79,82,38,77.5,41,82.5,44,75,35,89.75
"5","746287","JPN","SWE",1,"01:53","5","8","Round-Robin",78,83.5,48,86.75,30,81,45,87,33,81.75
"6","746287","SWE","JPN",1,"02:41","8","5","Round-Robin",76,85.75,32,83.5,44,79.75,44,88.25,32,80.75
"7","746310","GBR","SUI",1,"02:58","5","6","Round-Robin",88,78,37,69,51,79.25,33,77.5,55,77.25
"8","746310","SUI","GBR",1,"00:20","6","5","Round-Robin",88,80.25,41,80,47,81,46,81,42,77.75
"9","746304","GBR","SWE",2,"11:16","8","2","Round-Robin",56,84,30,84,26,87.5,24,81.5,32,86.25
"10","746304","SWE","GBR",2,"10:20","2","8","Round-Robin",56,84.25,33,90,23,73.25,37,85.25,19,82
"11","746302","DEN","USA",2,"06:31","5","7","Round-Robin",80,78.25,46,78.25,34,73.5,41,78,39,77.25
"12","746302","USA","DEN",2,"01:29","7","5","Round-Robin",78,80.5,36,78.25,42,82.5,46,83.25,32,77
"13","746330","CHN","SUI",2,"00:19","5","7","Round-Robin",80,81.75,43,85.5,37,76.75,45,84,35,80.25
"14","746330","SUI","CHN",2,"00:56","7","5","Round-Robin",80,84.25,47,82.5,33,88.75,48,86.5,32,70
"15","746299","CAN","KOR",1,"00:35","12","7","Round-Robin",80,82,35,79.25,45,80.5,45,81.5,35,79
"16","746299","KOR","CAN",1,"00:26","7","12","Round-Robin",80,79.75,51,85,29,77,51,86.75,29,65.5
"17","746322","CHN","USA",3,"01:51","4","8","Round-Robin",78,80,49,86.75,29,64.5,34,81.25,44,77.25
"18","746322","USA","CHN",3,"01:52","8","4","Round-Robin",78,82.75,45,86,33,76,46,81.5,32,84.75
"19","746318","ROC","SUI",2,"00:51","7","8","Round-Robin",80,76.75,46,79.5,34,71.5,36,80.75,44,73
"20","746318","SUI","ROC",3,"01:58","8","7","Round-Robin",80,81,39,74.25,41,89.75,46,76,34,85.75
