"","player_id","first","last","full","team_abr","team_id","positions"
"1",340094,"Kotomi","Ishizaki","ISHIZAKI Kotomi","JPN",89,"A"
"2",455596,"Denise","Dupont","DUPONT Denise","DEN",197,"2"
"3",455597,"Madeleine","Dupont","DUPONT Madeleine","DEN",197,"4-S"
"4",594027,"Jennifer","Jones","JONES Jennifer","CAN",594,"4-S"
"5",660100,"Silvana","Tirinzoni","TIRINZONI Silvana","SUI",52,"3-S"
"6",660102,"Esther","Neuenschwander","NEUENSCHWANDER Esther","SUI",52,"2"
"7",721915,"Eve","Muirhead","MUIRHEAD Eve","GBR",602,"4-S"
"8",721928,"Kaitlyn","Lawes","LAWES Kaitlyn","CAN",594,"3-V"
"9",721946,"Satsuki","Fujisawa","FUJISAWA Satsuki","JPN",89,"4-S"
"10",721952,"Rebecca","Hamilton","HAMILTON Becca","USA",811,"2"
"11",722543,"Dawn","McEwen","MCEWEN Dawn","CAN",594,"1"
"12",771133,"Galina","Arsenkina","ARSENKINA Galina","ROC",64184,"2"
"13",771137,"Anna","Hasselborg","HASSELBORG Anna","SWE",386,"4-S"
"14",771138,"Agnes","Knochenhauer","KNOCHENHAUER Agnes","SWE",386,"2"
"15",771141,"Sara","McManus","MCMANUS Sara","SWE",386,"3-V"
"16",771147,"Tabitha","Peterson","PETERSON Tabitha","USA",811,"4-S"
"17",771148,"Tara","Peterson","PETERSON Tara","USA",811,"1"
"18",931746,"Alina","Pätz","PAETZ Alina","SUI",52,"4-V"
"19",931792,"Sofia","Mabergs","MABERGS Sofia","SWE",386,"1"
"20",1022654,"Jocelyn","Peterman","PETERMAN Jocelyn","CAN",594,"2"
"21",1022678,"Melanie","Barbezat","BARBEZAT Melanie","SUI",52,"1"
"22",1025602,"Johanna","Heldin","HELDIN Johanna","SWE",386,"A"
"23",1149935,"Alina","Kovaleva","KOVALEVA Alina","ROC",64184,"4-S"
"24",1149957,"Jennifer","Dodds","DODDS Jennifer","GBR",602,"2"
"25",1149971,"Yulia","Portunova","PORTUNOVA Yulia","ROC",64184,"3-V"
"26",1149972,"Vicky","Wright","WRIGHT Vicky","GBR",602,"3-V"
"27",1158300,"Aileen","Geving","GEVING Aileen","USA",811,"A"
"28",1159916,"Lisa","Weagle","WEAGLE Lisa","CAN",594,"A"
"29",1221183,"Chinami","Yoshida","YOSHIDA Chinami","JPN",89,"3-V"
"30",1221195,"Rui","Wang","WANG Rui","CHN",1157,"3-V,4-V,4-S"
"31",1235627,"Eun-Jung","Kim","KIM Eun-Jung","KOR",921,"4-S"
"32",1235648,"Kyeong-Ae","Kim","KIM Kyeong-Ae","KOR",921,"3-V"
"33",1235698,"Seon-Yeong","Kim","KIM Seon-Yeong","KOR",921,"1"
"34",1235704,"Yeong-Mi","Kim","KIM Yeong-Mi","KOR",921,"A,2"
"35",1246289,"Carole","Howald","HOWALD Carole","SUI",52,"A"
"36",1366650,"Ekaterina","Kuzmina","KUZMINA Ekaterina","ROC",64184,"1"
"37",1453422,"Yurika","Yoshida","YOSHIDA Yurika","JPN",89,"1"
"38",1453423,"Yumi","Suzuki","SUZUKI Yumi","JPN",89,"2"
"39",1475577,"Mili","Smith","SMITH Mili","GBR",602,"A"
"40",1475586,"Yu","Han","HAN Yu","CHN",1157,"4-S,3-S,A"
"41",1482314,"Maria","Komarova","KOMAROVA Maria","ROC",64184,"A"
"42",1550327,"Chohi","Kim","KIM Chohi","KOR",921,"2,A"
"43",1570508,"Mathilde","Halse","HALSE Mathilde","DEN",197,"3-V"
"44",1634789,"Nina","Roth","ROTH Nina","USA",811,"3-V"
"45",1721079,"Xindi","Jiang","JIANG Xindi","CHN",1157,"A,1"
"46",1721083,"Ziqi","Dong","DONG Ziqi","CHN",1157,"2,3"
"47",1776691,"Hailey","Duff","DUFF Hailey","GBR",602,"1"
"48",1949354,"Lijun","Zhang","ZHANG Lijun","CHN",1157,"1,2-V"
"49",2032361,"Jasmin","Lander","LANDER Jasmin","DEN",197,"A"
"50",2032386,"My","Larsen","LARSEN My","DEN",197,"1"
