"","team_id","team","team_abbr","wins","losses","pf","pa","logo"
"1",52,"Switzerland","SUI",8,1,67,46,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Civil_Ensign_of_Switzerland.svg/800px-Civil_Ensign_of_Switzerland.svg.png"
"2",89,"Japan","JPN",5,4,64,62,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/800px-Flag_of_Japan.svg.png"
"3",197,"Denmark","DEN",2,7,50,68,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/800px-Flag_of_Denmark.svg.png"
"4",386,"Sweden","SWE",7,2,64,49,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/1920px-Flag_of_Sweden.svg.png"
"5",594,"Canada","CAN",5,4,71,59,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/1920px-Flag_of_Canada_%28Pantone%29.svg.png"
"6",602,"Great Britain","GBR",5,4,63,47,"https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1280px-Flag_of_the_United_Kingdom.svg.png"
"7",811,"United States","USA",4,5,60,64,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png"
"8",921,"South Korea","KOR",4,5,62,66,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/800px-Flag_of_South_Korea.svg.png"
"9",1157,"China","CHN",4,5,56,67,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/800px-Flag_of_the_People%27s_Republic_of_China.svg.png"
"10",64184,"ROC","ROC",1,8,50,79,"https://upload.wikimedia.org/wikipedia/commons/4/48/ROC_flag_%282021_NWSCh%29.png"
